"cvss2_score","cvss3_score","Version","detection_time","severity","external_references","Architecture","condition","cve","updated","Name","Title","published"
5,7.5,"1.40.4","2023-08-10T06:26:25+00:00","High","[""https://github.com/metabase/metabase/commit/042a36e49574c749f944e19cf80360fd3dc322f0"",""https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr"",""https://nvd.nist.gov/vuln/detail/CVE-2021-41277""]","x86","Version match","CVE-2021-41277","2023-07-17","Metabase version 1.40.4","CVE-2021-41277 affects Metabase version 1.40.4","2021-11-17"
0,9.6,"1.40.4","2023-08-10T06:26:25+00:00","Critical","[""https://github.com/metabase/metabase/pull/30852"",""https://github.com/metabase/metabase/security/advisories/GHSA-mw6j-f894-4qxv"",""https://github.com/metabase/metabase/pull/30853"",""https://github.com/metabase/metabase/pull/30854"",""https://nvd.nist.gov/vuln/detail/CVE-2023-32680""]","x86","greater than or equal 1.0.0 and less than 1.44.7","CVE-2023-32680","2023-05-26","Metabase version 1.40.4","CVE-2023-32680 affects Metabase version 1.40.4","2023-05-18"
0,6.3,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://github.com/metabase/metabase/security/advisories/GHSA-ch8f-hhq9-7gv5"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23629""]","x86","greater than or equal 1.0.0 and less than 1.43.7.1","CVE-2023-23629","2023-02-07","Metabase version 1.40.4","CVE-2023-23629 affects Metabase version 1.40.4","2023-01-28"
0,4.1,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://github.com/metabase/metabase/security/advisories/GHSA-492f-qxr3-9rrv"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23628""]","x86","greater than or equal 1.0.0 and less than 1.43.7.1","CVE-2023-23628","2023-02-06","Metabase version 1.40.4","CVE-2023-23628 affects Metabase version 1.40.4","2023-01-28"
3.5,5.4,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://github.com/metabase/metabase/security/advisories/GHSA-wjw6-wm9w-7ggr"",""https://github.com/metabase/metabase/releases/tag/v0.42.4"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24855""]","x86","greater than or equal 1.40.0 and less than 1.40.8","CVE-2022-24855","2022-04-22","Metabase version 1.40.4","CVE-2022-24855 affects Metabase version 1.40.4","2022-04-14"
2.6,5.3,"1.40.4","2023-08-10T06:26:25+00:00","Medium","[""https://www.qomplx.com/qomplx-knowledge-ntlm-relay-attacks-explained/"",""https://github.com/metabase/metabase/security/advisories/GHSA-5cfq-582c-c38m"",""https://secure77.de/metabase-ntlm-relay-attack/"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24853""]","x86","greater than or equal 1.40.0 and less than 1.40.8","CVE-2022-24853","2022-04-22","Metabase version 1.40.4","CVE-2022-24853 affects Metabase version 1.40.4","2022-04-14"
0,7.5,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36884"",""http://seclists.org/fulldisclosure/2023/Jul/43"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36884""]","x64","KB5029250 patch is not installed","CVE-2023-36884","2023-08-08","Windows Server 2022","CVE-2023-36884 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36874"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36874""]","x64","KB5028171 patch is not installed","CVE-2023-36874","2023-07-19","Windows Server 2022","CVE-2023-36874 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:07+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-36871"",""https://nvd.nist.gov/vuln/detail/CVE-2023-36871""]","x64","KB5028171 patch is not installed","CVE-2023-36871","2023-07-19","Windows Server 2022","CVE-2023-36871 affects Windows Server 2022","2023-07-11"
0,9.8,"10.0.20348","2023-08-10T06:26:07+00:00","Critical","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35367"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35367""]","x64","KB5028171 patch is not installed","CVE-2023-35367","2023-07-18","Windows Server 2022","CVE-2023-35367 affects Windows Server 2022","2023-07-11"
0,9.8,"10.0.20348","2023-08-10T06:26:07+00:00","Critical","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35366"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35366""]","x64","KB5028171 patch is not installed","CVE-2023-35366","2023-07-18","Windows Server 2022","CVE-2023-35366 affects Windows Server 2022","2023-07-11"
0,9.8,"10.0.20348","2023-08-10T06:26:07+00:00","Critical","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35365"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35365""]","x64","KB5028171 patch is not installed","CVE-2023-35365","2023-07-18","Windows Server 2022","CVE-2023-35365 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35364"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35364""]","x64","KB5028171 patch is not installed","CVE-2023-35364","2023-07-18","Windows Server 2022","CVE-2023-35364 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35363"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35363""]","x64","KB5028171 patch is not installed","CVE-2023-35363","2023-07-18","Windows Server 2022","CVE-2023-35363 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35362"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35362""]","x64","KB5028171 patch is not installed","CVE-2023-35362","2023-07-18","Windows Server 2022","CVE-2023-35362 affects Windows Server 2022","2023-07-11"
0,7,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35361"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35361""]","x64","KB5028171 patch is not installed","CVE-2023-35361","2023-07-18","Windows Server 2022","CVE-2023-35361 affects Windows Server 2022","2023-07-11"
0,7,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35360"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35360""]","x64","KB5028171 patch is not installed","CVE-2023-35360","2023-07-18","Windows Server 2022","CVE-2023-35360 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35358"",""http://packetstormsecurity.com/files/174117/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35358""]","x64","KB5028171 patch is not installed","CVE-2023-35358","2023-08-10","Windows Server 2022","CVE-2023-35358 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35357"",""http://packetstormsecurity.com/files/174116/Microsoft-Windows-Kernel-Unsafe-Reference.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35357""]","x64","KB5028171 patch is not installed","CVE-2023-35357","2023-08-10","Windows Server 2022","CVE-2023-35357 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35356"",""http://packetstormsecurity.com/files/174118/Microsoft-Windows-Kernel-Security-Descriptor-Use-After-Free.html"",""http://packetstormsecurity.com/files/174115/Microsoft-Windows-Kernel-Arbitrary-Read.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35356""]","x64","KB5028171 patch is not installed","CVE-2023-35356","2023-08-10","Windows Server 2022","CVE-2023-35356 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35353"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35353""]","x64","KB5028171 patch is not installed","CVE-2023-35353","2023-07-18","Windows Server 2022","CVE-2023-35353 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35352"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35352""]","x64","KB5028171 patch is not installed","CVE-2023-35352","2023-07-18","Windows Server 2022","CVE-2023-35352 affects Windows Server 2022","2023-07-11"
0,6.6,"10.0.20348","2023-08-10T06:26:07+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35351"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35351""]","x64","KB5028171 patch is not installed","CVE-2023-35351","2023-07-19","Windows Server 2022","CVE-2023-35351 affects Windows Server 2022","2023-07-11"
0,7.2,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35350"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35350""]","x64","KB5028171 patch is not installed","CVE-2023-35350","2023-07-14","Windows Server 2022","CVE-2023-35350 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:07+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35348"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35348""]","x64","KB5028171 patch is not installed","CVE-2023-35348","2023-07-14","Windows Server 2022","CVE-2023-35348 affects Windows Server 2022","2023-07-11"
0,7.1,"10.0.20348","2023-08-10T06:26:07+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35347"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35347""]","x64","KB5028171 patch is not installed","CVE-2023-35347","2023-07-14","Windows Server 2022","CVE-2023-35347 affects Windows Server 2022","2023-07-11"
0,6.6,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35346"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35346""]","x64","KB5028171 patch is not installed","CVE-2023-35346","2023-07-14","Windows Server 2022","CVE-2023-35346 affects Windows Server 2022","2023-07-11"
0,6.6,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35345"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35345""]","x64","KB5028171 patch is not installed","CVE-2023-35345","2023-07-15","Windows Server 2022","CVE-2023-35345 affects Windows Server 2022","2023-07-11"
0,6.6,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35344"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35344""]","x64","KB5028171 patch is not installed","CVE-2023-35344","2023-07-15","Windows Server 2022","CVE-2023-35344 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35343"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35343""]","x64","KB5028171 patch is not installed","CVE-2023-35343","2023-07-15","Windows Server 2022","CVE-2023-35343 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35342"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35342""]","x64","KB5028171 patch is not installed","CVE-2023-35342","2023-07-15","Windows Server 2022","CVE-2023-35342 affects Windows Server 2022","2023-07-11"
0,5.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35341"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35341""]","x64","KB5028171 patch is not installed","CVE-2023-35341","2023-07-14","Windows Server 2022","CVE-2023-35341 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35340"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35340""]","x64","KB5028171 patch is not installed","CVE-2023-35340","2023-07-14","Windows Server 2022","CVE-2023-35340 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35339"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35339""]","x64","KB5028171 patch is not installed","CVE-2023-35339","2023-07-14","Windows Server 2022","CVE-2023-35339 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35338"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35338""]","x64","KB5028171 patch is not installed","CVE-2023-35338","2023-07-14","Windows Server 2022","CVE-2023-35338 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35337"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35337""]","x64","KB5028171 patch is not installed","CVE-2023-35337","2023-07-14","Windows Server 2022","CVE-2023-35337 affects Windows Server 2022","2023-07-11"
0,5.4,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35336"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35336""]","x64","KB5028171 patch is not installed","CVE-2023-35336","2023-07-14","Windows Server 2022","CVE-2023-35336 affects Windows Server 2022","2023-07-11"
0,6.8,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35332"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35332""]","x64","KB5028171 patch is not installed","CVE-2023-35332","2023-07-14","Windows Server 2022","CVE-2023-35332 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35331"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35331""]","x64","KB5028171 patch is not installed","CVE-2023-35331","2023-07-14","Windows Server 2022","CVE-2023-35331 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35330"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35330""]","x64","KB5028171 patch is not installed","CVE-2023-35330","2023-07-14","Windows Server 2022","CVE-2023-35330 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35329"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35329""]","x64","KB5028171 patch is not installed","CVE-2023-35329","2023-07-14","Windows Server 2022","CVE-2023-35329 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35328"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35328""]","x64","KB5028171 patch is not installed","CVE-2023-35328","2023-07-14","Windows Server 2022","CVE-2023-35328 affects Windows Server 2022","2023-07-11"
0,5.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35326"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35326""]","x64","KB5028171 patch is not installed","CVE-2023-35326","2023-07-14","Windows Server 2022","CVE-2023-35326 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35325"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35325""]","x64","KB5028171 patch is not installed","CVE-2023-35325","2023-07-14","Windows Server 2022","CVE-2023-35325 affects Windows Server 2022","2023-07-11"
0,5.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35324"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35324""]","x64","KB5028171 patch is not installed","CVE-2023-35324","2023-07-14","Windows Server 2022","CVE-2023-35324 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35323"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35323""]","x64","KB5028171 patch is not installed","CVE-2023-35323","2023-07-14","Windows Server 2022","CVE-2023-35323 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35322"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35322""]","x64","KB5028171 patch is not installed","CVE-2023-35322","2023-07-14","Windows Server 2022","CVE-2023-35322 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35321"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35321""]","x64","KB5028171 patch is not installed","CVE-2023-35321","2023-07-14","Windows Server 2022","CVE-2023-35321 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35320"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35320""]","x64","KB5028171 patch is not installed","CVE-2023-35320","2023-07-14","Windows Server 2022","CVE-2023-35320 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35319"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35319""]","x64","KB5028171 patch is not installed","CVE-2023-35319","2023-07-14","Windows Server 2022","CVE-2023-35319 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35318"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35318""]","x64","KB5028171 patch is not installed","CVE-2023-35318","2023-07-14","Windows Server 2022","CVE-2023-35318 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35317"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35317""]","x64","KB5028171 patch is not installed","CVE-2023-35317","2023-07-14","Windows Server 2022","CVE-2023-35317 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35316"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35316""]","x64","KB5028171 patch is not installed","CVE-2023-35316","2023-07-14","Windows Server 2022","CVE-2023-35316 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35315"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35315""]","x64","KB5028171 patch is not installed","CVE-2023-35315","2023-07-14","Windows Server 2022","CVE-2023-35315 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35314"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35314""]","x64","KB5028171 patch is not installed","CVE-2023-35314","2023-07-14","Windows Server 2022","CVE-2023-35314 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35313"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35313""]","x64","KB5028171 patch is not installed","CVE-2023-35313","2023-07-14","Windows Server 2022","CVE-2023-35313 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35312"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35312""]","x64","KB5028171 patch is not installed","CVE-2023-35312","2023-07-14","Windows Server 2022","CVE-2023-35312 affects Windows Server 2022","2023-07-11"
0,6.6,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35310"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35310""]","x64","KB5028171 patch is not installed","CVE-2023-35310","2023-07-14","Windows Server 2022","CVE-2023-35310 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35309"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35309""]","x64","KB5028171 patch is not installed","CVE-2023-35309","2023-07-14","Windows Server 2022","CVE-2023-35309 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35308"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35308""]","x64","KB5028171 patch is not installed","CVE-2023-35308","2023-07-14","Windows Server 2022","CVE-2023-35308 affects Windows Server 2022","2023-07-11"
0,5.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35306"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35306""]","x64","KB5028171 patch is not installed","CVE-2023-35306","2023-07-14","Windows Server 2022","CVE-2023-35306 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35305"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35305""]","x64","KB5028171 patch is not installed","CVE-2023-35305","2023-07-14","Windows Server 2022","CVE-2023-35305 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35304"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35304""]","x64","KB5028171 patch is not installed","CVE-2023-35304","2023-07-14","Windows Server 2022","CVE-2023-35304 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35303"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35303""]","x64","KB5028171 patch is not installed","CVE-2023-35303","2023-07-14","Windows Server 2022","CVE-2023-35303 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35302"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35302""]","x64","KB5028171 patch is not installed","CVE-2023-35302","2023-07-14","Windows Server 2022","CVE-2023-35302 affects Windows Server 2022","2023-07-11"
0,8.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35300"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35300""]","x64","KB5028171 patch is not installed","CVE-2023-35300","2023-07-14","Windows Server 2022","CVE-2023-35300 affects Windows Server 2022","2023-07-11"
0,7.8,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35299"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35299""]","x64","KB5028171 patch is not installed","CVE-2023-35299","2023-07-14","Windows Server 2022","CVE-2023-35299 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35298"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35298""]","x64","KB5028171 patch is not installed","CVE-2023-35298","2023-07-14","Windows Server 2022","CVE-2023-35298 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35297"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35297""]","x64","KB5028171 patch is not installed","CVE-2023-35297","2023-07-14","Windows Server 2022","CVE-2023-35297 affects Windows Server 2022","2023-07-11"
0,6.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-35296"",""https://nvd.nist.gov/vuln/detail/CVE-2023-35296""]","x64","KB5028171 patch is not installed","CVE-2023-35296","2023-07-14","Windows Server 2022","CVE-2023-35296 affects Windows Server 2022","2023-07-11"
0,5.5,"10.0.20348","2023-08-10T06:26:08+00:00","Medium","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33174"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33174""]","x64","KB5028171 patch is not installed","CVE-2023-33174","2023-07-19","Windows Server 2022","CVE-2023-33174 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33173"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33173""]","x64","KB5028171 patch is not installed","CVE-2023-33173","2023-07-19","Windows Server 2022","CVE-2023-33173 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33172"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33172""]","x64","KB5028171 patch is not installed","CVE-2023-33172","2023-07-18","Windows Server 2022","CVE-2023-33172 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33169"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33169""]","x64","KB5028171 patch is not installed","CVE-2023-33169","2023-07-19","Windows Server 2022","CVE-2023-33169 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33168"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33168""]","x64","KB5028171 patch is not installed","CVE-2023-33168","2023-07-19","Windows Server 2022","CVE-2023-33168 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33167"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33167""]","x64","KB5028171 patch is not installed","CVE-2023-33167","2023-07-19","Windows Server 2022","CVE-2023-33167 affects Windows Server 2022","2023-07-11"
0,7.5,"10.0.20348","2023-08-10T06:26:08+00:00","High","[""https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-33166"",""https://nvd.nist.gov/vuln/detail/CVE-2023-33166""]","x64","KB5028171 patch is not installed","CVE-2023-33166","2023-07-18","Windows Server 2022","CVE-2023-33166 affects Windows Server 2022","2023-07-11"
